DATIMCode,State_raw,LGA_raw,Facility_raw,StateName,LGAName,FacilityName
"Aocjg00w77E","Taraba","Jalingo","ta Jalingo Federal Medical Centre","","",""
"apo2hT9i94X","Adamawa","Girei","ad Girei B Clinic","","",""
"B0V6x5le9Tj","Taraba","Wukari","ta Wukari General Hospital","","",""
"bUhfkjY3yVP","Borno","Askira/Uba","bo Lassa General Hospital","","",""
"bxBIxJ7LJ4Q","Borno","Maiduguri","bo Muhammed Shuwa Memorial Hospital","","",""
"C8zbhPQNbPk","Taraba","Kumi","ta Sun Shine Clinic Baissa","","",""
"cVnKorgLC9B","Adamawa","Hong","ad Hong Cottage Hospital","","",""
"DgTi7GSbUAE","Taraba","Ibi","ta Ibi First Referral Hospital","","",""
"dlzwTad81iz","Taraba","Lau","ta Lau First Referral Hospital","","",""
"DPA6BxE9pzQ","Adamawa","Yola North","ad Yola Specialist Hospital","","",""
"DqWvsU2R8rw","Adamawa","Mayo-Belwa","ad Mayo-Belwa Township Clinic","","",""
"DVlcYRf680L","Taraba","Kumi","ta Baissa First Referral Hospital","","",""
"eJDSKTK7sO8","Borno","Monguno","bo Monguno General Hospital","","",""
"fakjSY6P1ED","Borno","Maiduguri","bo Maiduguri State Specialist Hospital","","",""
"FLdJ1UojpI5","Taraba","Sardauna","ta Gembu General Hospital","","",""
"FQ0Jc3pO5Op","Borno","Jere","bo University of Maiduguri Teaching Hospital","","",""
"FWEjuDChsDH","Taraba","Jalingo","ta State Specialist Hospital","","",""
"GbtTSJLBKbI","Adamawa","Yola North","ad St. Francis Hospital","","",""
"gF8UahvIXw9","Borno","Biu","bo Biu General Hospital","","",""
"gfEDfny3Hp0","Adamawa","Yola South","ad Wauro-Jabbe Health Centre","","",""
"GHUokYisiZe","Taraba","Jalingo","ta Jinya Medical Centre","","",""
"gxpWWY8YvrW","Borno","Konduga","bo Konduga General Hospital","","",""
"hozfIkuo4eE","Adamawa","Yola North","ad Major Aminu Urban Health Centre","","",""
"IvofjQjgSeE","Taraba","Ardo Kola","ta Sunkani First Referral Hospital","","",""
"iWJPpf18IyU","Taraba","Jalingo","ta Jalingo Government House Clinic","","",""
"J2AZkcaFst0","Adamawa","Yola South","ad G.D.Chanrai Memorial Hospital","","",""
"JcYmXdOSndf","Yobe","Geidam","yo Geidam General Hospital","","",""
"JPBcTpp6XUu","Taraba","Yorro","ta Abubakar Barde First Referral Hospital","","",""
"JqquBCRr5Ie","Taraba","Sardauna","ta Warwar General Hospital","","",""
"KGNkYub5Oxq","Taraba","Gassol","ta Mutum Biyu First Referral Hospital","","",""
"KrHj7Ycvctj","Adamawa","Fufore","ad Fufore Cottage Hospital","","",""
"KTsdxBrj1K8","Taraba","Bali","ta Bali General Hospital","","",""
"kwnTWvSacEg","Taraba","Karim Lamido","ta Bambur General Hospital","","",""
"KXoSesiSLeE","Adamawa","Numan","ad Numan General Hospital","","",""
"l01zG9ePfqt","Adamawa","Jada","ad Jada Township Clinic","","",""
"LN72HGCti4v","Yobe","Nguru","yo Nguru Federal Medical Centre","","",""
"M0b885TVP1Q","Taraba","Zing","ta Zing General Hospital","","",""
"Nx613mKHzsk","Adamawa","Michika","ad Michika General Hospital","","",""
"nX6ReqpEjKZ","Yobe","Jakusko","yo Jakusko General Hospital","","",""
"o1xyfiaFzDG","Borno","Bama","bo FHI360 Clinic Banki IDP Camp","","",""
"oN0Woo9C7qb","Borno","Ngala","bo ISS IDP Camp Clinic Ngala","","",""
"Pjak5oARJBf","Adamawa","Demsa","ad Borrong General Hospital","","",""
"q1D4GdFPtqJ","Taraba","Wukari","ta Wukari Christian Reformed Church Of Nigeria Aids Action Committee","","",""
"qaVq74gMDhs","Taraba","Bali","ta Santa Maria Clinic","","",""
"qY7ZkVcos1O","Adamawa","Song","ad Song Cottage Hospital","","",""
"R2bNqBqJUIw","Adamawa","Gombi","ad Garkida General Hospital","","",""
"RFVNndb3OKN","Taraba","Zing","ta United Methodist Church of Nigeria Rural Health Programme CSO","","",""
"rmGHrOrVW9r","Taraba","Takum","ta Rapah Hospital","","",""
"RoxOslFYbmA","Adamawa","Yola North","ad Boshong Clinic and Maternity","","",""
"RRPYgMWYw4h","Adamawa","Yola North","ad Peace Hospital Jimeta","","",""
"RWQP4pGxyYS","Borno","Askira/Uba","bo Askira General Hospital","","",""
"RxLmSTf6Kpl","Adamawa","Yola South","ad Yola Federal Medical Centre","","",""
"S5HvxHdK2Vt","Adamawa","Mayo-Belwa","ad Mayo Belwa Cottage Hospital","","",""
"sBzJ4tnvCMD","Yobe","Damaturu","yo Sani Abacha Specialist Hospital","","",""
"sP8QEwb0SXo","Taraba","Sardauna","ta Mambila Baptist Hospital","","",""
"SSB1jXm3jdi","Adamawa","Toungo","ad Toungo Cottage Hospital","","",""
"Uyo9Hpc3vql","Taraba","Wukari","ta Kwararrafa Hospital","","",""
"VZCEov8JZIe","Borno","Bayo","bo Briyel General Hospital","","",""
"W387n0fbylW","Adamawa","Yola South","ad Adamawa Hospital","","",""
"w4gxim2NiVj","Borno","Jere","bo Umaru Shehu Ultra Modern Hospital","","",""
"wAZ9LXoASUu","Adamawa","Guyuk","ad Guyuk General Hospital","","",""
"wC0drfSNmV4","Taraba","Jalingo","ta Ummah Clinic","","",""
"WjDvZSLT4i5","Adamawa","Ganye","ad Ganye General Hospital","","",""
"wr9dSNAmnWp","Taraba","Sardauna","ta GECHAAN Lifeline Center","","",""
"wRBooaCoKz6","Taraba","Zing","ta Yakoko St. Monica Health Centre","","",""
"wSzsuzrAmU1","Taraba","Donga","ta Donga First Referral Hospital","","",""
"x7TBWFDy1GZ","Adamawa","Madagali","ad Gulak Cottage Hospital","","",""
"XyFDmlevgCu","Adamawa","Mubi South","ad Mubi General Hospital","","",""
"YFOBz4PMuNV","Taraba","Takum","ta Haruna Tsokwa Memorial General Hospital","","",""
"z6APuLTiHAX","Yobe","Potiskum","yo Potiskum General Hospital","","",""
"zxSXLppge0P","Adamawa","Maiha","ad Maiha Cottage Hospital","","",""
"zZXDNWVezMV","Taraba","Gashaka","ta Serti First Referral Hospital","","",""